epoch,train_loss,recon_loss,kl_loss,val_loss
1,109.88698248119306,95.92726385501949,13.959718655002282,87.19011877752413
2,83.05344622092478,64.61240606478718,18.441040134186025,80.39381233749876
3,79.53339833798616,59.88901804658153,19.644380371893764,79.11067792564441
4,78.23785691127144,57.91662282041272,20.32123406890713,79.05162942485445
5,77.4021181657796,56.56394520440065,20.838172927232044,77.0192986263591
6,76.86262209763002,55.70946653907561,21.15315563416542,77.12223869372325
7,76.42942878352407,55.092505628190686,21.336923321189783,77.86087113884604
8,76.19804264273485,54.64677493102715,21.551267679999857,76.16346055534994
9,75.77920822963081,54.029456989844434,21.749751151980036,75.87751177162122
10,75.51570945993409,53.643358206200176,21.872351273246434,75.77560050624191
11,75.39953334252243,53.46889645608185,21.93063697912504,76.0702715345249
12,75.21941317194867,53.25814588112599,21.961267159113188,75.26874926135798
13,75.04267657931199,52.96064259268134,22.08203378662734,75.26137513567687
14,74.88372107113109,52.773309195438,22.11041182691179,74.95086874020328
15,74.81562388583522,52.69770273954972,22.117920987746295,75.43277342000584
16,74.70517940472459,52.51676391152775,22.188415446854613,74.82206487959357
17,74.64609600759833,52.38357052229859,22.26252558042326,74.55136764429177
18,74.5168132050263,52.269697950319255,22.247115220560136,74.92147209993593
19,74.46679410422244,52.189463749566045,22.277330237581296,74.92058096721674
20,74.42947149642593,52.103636012357825,22.325835545044725,75.08280726147305
21,74.29925850285288,51.95854068473172,22.34071787178059,74.6253268490931
22,74.27683998556698,51.87081978449126,22.40602019131946,74.68148808570425
23,74.16254846519216,51.82859528095216,22.333953106189934,74.5887350580495
24,74.10212786545229,51.68163446392245,22.420493428359556,74.34534128760076
25,74.11118441530506,51.69551456187997,22.41566993635329,74.30809424333512
26,74.04038346819866,51.54006935568417,22.500314119831682,74.15556578423566
27,73.95865515979659,51.468624778415844,22.49003036674636,74.28143665289423
28,73.92617162719102,51.433067321777344,22.493104154191663,74.14686380374204
29,73.87069703124064,51.33481037891124,22.535886584035577,74.30270283692961
30,73.87842583717287,51.32262455289016,22.555801418431276,74.0549201236409
31,73.85161798384489,51.27471827241161,22.576899767531764,74.06518924008509
32,73.80173288525828,51.17987695679335,22.62185596748996,74.04327154463263
33,73.74653423533721,51.129906656796976,22.616627441952602,74.0761117145514
34,73.68103915163319,51.07689266253615,22.604146645197172,73.9728576757346
35,73.7307059441686,51.056070449712024,22.67463553592067,73.91905615739762
36,73.70563892452309,51.07131603367798,22.63432294694359,73.96699135166824
37,73.67510426318859,50.965886986773945,22.709217252023993,74.02381338131656
38,73.64793505266195,50.966470825702636,22.681464307448444,73.78864584758783
39,73.62832100129188,50.866377140250044,22.761943843968385,73.97555386488605
40,73.58084155714421,50.91812231839465,22.66271928021365,73.66234292194342
41,73.5997047034066,50.84388687543552,22.755817823092954,74.55562956014256
42,73.51203782845032,50.782936910839034,22.729100776145525,73.97802297021174
43,73.53679446247227,50.82511919416735,22.711675375623777,73.9840499003222
44,73.47623809463228,50.68447192062807,22.791766252054277,74.00147840171863
45,73.47724478446004,50.710307928607286,22.766936855852755,73.84069979722332
46,73.47264627910332,50.69748983846601,22.775156443076366,74.38476917242548
47,73.42440426136221,50.65385852628352,22.770545505806613,73.92293436815784
48,73.40708519430721,50.600037640622816,22.807047578075046,73.6858042820244
49,73.40537806362143,50.63191100703481,22.773467034635033,74.00747734118418
50,73.39740687806894,50.63381255557165,22.76359434444886,74.01783786457815
51,73.34811918448914,50.58319991323954,22.764919173687012,73.98019112750983
52,73.36607445719297,50.51247954307615,22.853594753138548,73.93081621303679
53,73.31586070438784,50.49497187777858,22.820888824170204,73.72842713374241
54,73.34716257353878,50.53803175123756,22.80913080766683,73.74306434582753
55,73.27460588030803,50.47072700832201,22.803878786618753,73.80219263939341
56,73.30116636368929,50.49828700092443,22.8028792847148,73.7140554926198
57,73.2482195022466,50.416076460152944,22.832142978677968,73.80998346608156
